English,Hungarian,lean,sovány
English,Hungarian,Adipose tissue,Zsírszövet
English,Hungarian,scarcely,alig
English,Hungarian,invaluable,felbecsülhetetlen
English,Hungarian,devoured,felfalta
English,Hungarian,fierce competition,kiélezett verseny
English,Hungarian,convolution,konvolúció
English,Hungarian,annotation,annotáció
English,Hungarian,extensive,kiterjedt
English,Hungarian,cleaves,hasít
English,Hungarian,implications,következményei
English,Hungarian,spite,dacára
English,Hungarian,soot,korom
English,Hungarian,obnoxious,kellemetlen
English,Hungarian,inherency,hozzátartozás
English,Hungarian,prevail,érvényesül
English,Hungarian,dissect,elemez
English,Hungarian,cumbersome,nehézkes
English,Hungarian,impeccable,kifogástalan
English,Hungarian,bureau,hivatal
English,Hungarian,aperture,nyílás
English,Hungarian,bogging down,elakad
English,Hungarian,glimpse,pillantást vetni
English,Hungarian,siloed,szilézett
English,Hungarian,obscure,homályos
English,Hungarian,puncture,szúrás
English,Hungarian,inquiry,vizsgálat
English,Hungarian,abolished,megszüntették
English,Hungarian,lateral,oldalsó
English,Hungarian,exudates,váladékok
English,Hungarian,soluble,oldódó
English,Hungarian,kin,rokon
English,Hungarian,vigor,életerő
English,Hungarian,endeavoar,törekvés
English,Hungarian,endevoar,törekszik
English,Hungarian,fare,viteldíj
English,Hungarian,succumbed,behódolt
English,Hungarian,dignity,méltóság
English,Hungarian,dignified,méltóságteljes
English,Hungarian,vanguard,élcsapat
English,Hungarian,seminal,mag
English,Hungarian,adverse,kedvezőtlen
English,Hungarian,skew,ferde
English,Hungarian,stoat,hermelin
English,Hungarian,weasel,menyét
English,Hungarian,maggot,kukac
English,Hungarian,obsessive,megszállott
English,Hungarian,cereal,gabona
English,Hungarian,tender,pályázati kiírás
English,Hungarian,stem,származik
English,Hungarian,petal,virágszirom
English,Hungarian,crucially,döntően
English,Hungarian,carnations,szegfű
English,Hungarian,nimble,fürge
English,Hungarian,subleties,finomságok
English,Hungarian,prolonged,meghosszabbított
English,Hungarian,residue,maradékot
English,Hungarian,shrieks,sikít
English,Hungarian,crafty,ravasz
English,Hungarian,vigorously,élénken
